Loc Type,A,B,AT,FT,Source ID,AT Grp,FT Grp,Location,Road,Dir,Estimated Volume,Observed Volume,Errors,Squared Errors,Percent Errors
101/280,52123,52508,3.0,1.0,124,Urb,Fwy/Ramp,US-101 280,,N,34884.98083,51633.33333333321,-16748.35250333321,280507311.5759079,-32.437093292446576
101/280,20658,20678,3.0,5.0,125,Urb,Fwy/Ramp,US-101 Silver Ave,,N,5048.762839999999,3512.666666666658,1536.0961733333415,2359591.453729335,43.73020041753688
101/280,52856,33690,2.0,5.0,126,UrbBiz,Fwy/Ramp,US-101 Alemany Blvd Off,,N,7391.23133,5082.33333333332,2308.8979966666793,5331009.959011405,45.42988122253595
101/280,33690,52168,2.0,5.0,127,UrbBiz,Fwy/Ramp,US-101 Alemany Blvd On,,N,16699.56286,7427.666666666656,9271.896193333341,85968059.0199493,124.82919077323548
101/280,52143,33751,2.0,5.0,129,UrbBiz,Fwy/Ramp,US-101 Cesar Chavez,,N,26219.69971,18828.33333333332,7391.36637666668,54632296.91411872,39.25661526068877
101/280,52153,52155,2.0,5.0,130,UrbBiz,Fwy/Ramp,US-101 Cesar Chavez,,N,30050.46801,18779.66666666664,11270.801343333362,127030962.92088512,60.01598187756285
101/280,52158,52255,2.0,5.0,131,UrbBiz,Fwy/Ramp,US-101 Vermont St,,N,10113.77838,9465.999999999993,647.778380000007,419616.8295954335,6.843211282484761
101/280,52159,52116,1.0,1.0,132,Core/CBD,Fwy/Ramp,US-101 US-101 at I-80,,N,52228.79565,44580.333333333154,7648.462316666846,58498975.80947278,17.156583957051787
101/280,52112,52160,1.0,1.0,201,Core/CBD,Fwy/Ramp,US-101 US-101 at I-80,,S,60823.65039,53211.33333333321,7612.31705666679,57947370.97122015,14.305819042309547
101/280,52154,52152,2.0,5.0,202,UrbBiz,Fwy/Ramp,US-101 Cesar Chavez,,S,24742.030510000004,22511.66666666665,2230.3638433333545,4974522.873648732,9.907590923225095
101/280,52150,52113,2.0,5.0,203,UrbBiz,Fwy/Ramp,US-101 Cesar Chavez,,S,24495.601010000002,24933.16666666666,-437.56565666665847,191463.70389412405,-1.7549542042393007
101/280,52126,28073,2.0,5.0,204,UrbBiz,Fwy/Ramp,US-101 Alemany Blvd,,S,3323.8613100000002,2933.3333333333303,390.52797666666993,152512.10055936308,13.313453750000125
101/280,33692,52167,2.0,5.0,205,UrbBiz,Fwy/Ramp,US-101 SB to I-280 SB,,S,13331.81922,5204.666666666659,8127.152553333341,66050608.62515264,156.1512595106959
101/280,52701,20651,3.0,5.0,206,Urb,Fwy/Ramp,US-101 San Bruno Ave/Silliman St,,S,20725.43695,7383.333333333316,13342.103616666684,178011728.9178702,180.7056923250571
101/280,20651,52700,3.0,5.0,207,Urb,Fwy/Ramp,US-101 San Bruno Ave,,S,7423.88316,3765.333333333325,3658.5498266666755,13384986.83420276,97.16403576487296
101/280,52142,52124,3.0,5.0,208,Urb,Fwy/Ramp,US-101 280 NB+SB,,S,37086.42413000001,46227.83333333316,-9141.409203333154,83565362.2227841,-19.77468668587075
101/280,52122,52232,3.0,5.0,209,Urb,Fwy/Ramp,US-101 San Bruno Ave/Mansell St,,S,13629.22259,10195.99999999998,3433.2225900000194,11787017.35248644,33.6722498038449
101/280,52141,52139,3.0,5.0,210,Urb,Fwy/Ramp,US-101 3rd St/Bayshore Blvd Off,,S,18391.63684,14779.666666666646,3611.970173333353,13046328.533049773,24.43877967477858
101/280,52139,52264,3.0,5.0,211,Urb,Fwy/Ramp,US-101 3rd St/Bayshore Blvd On,,S,15139.00882,9736.333333333318,5402.6754866666815,29188902.414229065,55.48983689958599
101/280,7732,6985,4.0,5.0,212,Sub,Fwy/Ramp,US-101 Alana Way,,S,2928.1111699999997,3959.333333333329,-1031.2221633333293,1063419.1501498716,-26.045348459336516
101/280,6985,6980,4.0,5.0,213,Sub,Fwy/Ramp,US-101 Alana Way,,S,6918.7791799999995,3512.999999999996,3405.7791800000036,11599331.822921498,96.94788442926296
101/280,6994,6996,4.0,5.0,214,Sub,Fwy/Ramp,US-101 Sierra Point Pkwy,,S,9.0,3285.333333333332,-3276.333333333332,10734360.111111103,-99.7260551948052
101/280,6996,6995,4.0,5.0,215,Sub,Fwy/Ramp,US-101 Sierra Point Pkwy,,S,61.468869999999995,2896.6666666666665,-2835.1977966666664,8038346.546223519,-97.87794464902187
101/280,7702,52234,2.0,5.0,301,UrbBiz,Fwy/Ramp,I-280 John Daly Blvd,,N,23127.345400000002,13144.66666666665,9982.678733333352,99653874.69294599,75.94470811989677
101/280,22460,52271,2.0,7.0,302,UrbBiz,Art,I-280 Alemany Blvd (2),,N,15463.391790000001,21057.66666666665,-5594.274876666648,31295911.395703644,-26.566451854431417
101/280,52134,52261,2.0,5.0,303,UrbBiz,Fwy/Ramp,I-280 Geneva Ave,,N,21933.34069,13830.999999999987,8102.340690000014,65647924.65682989,58.58101865374897
101/280,52132,52130,2.0,5.0,304,UrbBiz,Fwy/Ramp,I-280 Ocean/Geneva Ave,,N,23262.865479999997,15009.999999999985,8252.865480000011,68109788.63097581,54.98244823451045
101/280,52302,33394,2.0,5.0,305,UrbBiz,Fwy/Ramp,I-280 San Jose Ave,,N,30530.67639,22745.666666666653,7785.009723333347,60606376.39239476,34.22634226299523
101/280,21812,52128,2.0,5.0,306,UrbBiz,Fwy/Ramp,I-280 Monterey Blvd,,N,19923.13854,12518.99999999998,7404.13854000002,54821267.51951363,59.143210639827714
101/280,52305,52273,2.0,5.0,307,UrbBiz,Fwy/Ramp,I-280 Alemany Blvd,,N,11426.7541,11529.33333333333,-102.5792333333302,10522.499111253801,-0.8897238926795151
101/280,52273,52272,2.0,5.0,308,UrbBiz,Fwy/Ramp,I-280 Alemany Blvd ,,N,12226.19636,16095.333333333325,-3869.136973333325,14970220.918414962,-24.038874456364123
101/280,52272,52509,3.0,1.0,309,Urb,Fwy/Ramp,I-280 101 SB,,N,11718.74074,14292.499999999987,-2573.759259999988,6624236.728435686,-18.00776113346154
101/280,52127,52170,2.0,1.0,310,UrbBiz,Fwy/Ramp,I-280 101 NB,,N,46950.531729999995,33010.99999999989,13939.531730000104,194310544.8516797,42.22692959922495
101/280,52508,52115,3.0,1.0,311,Urb,Fwy/Ramp,I-280 101 NB,,N,26720.224790000004,39158.999999999985,-12438.775209999982,154723128.72491008,-31.764792793482943
101/280,52767,23611,2.0,5.0,312,UrbBiz,Fwy/Ramp,I-280 Cesar Chavez,,N,10409.40682,15321.333333333301,-4911.926513333301,24127022.07238664,-32.05939330780597
101/280,23609,52146,2.0,5.0,313,UrbBiz,Fwy/Ramp,I-280 Indiana,,N,13254.45784,5236.666666666662,8017.791173333337,64284975.29918196,153.10867931253998
101/280,52161,52248,2.0,5.0,314,UrbBiz,Fwy/Ramp,I-280 Mariposa,,N,14957.279080000002,14737.333333333312,219.94574666668996,48376.131476767754,1.4924392472633468
101/280,52247,52164,2.0,5.0,315,UrbBiz,Fwy/Ramp,I-280 18th St,,N,8500.42596,2981.3333333333258,5519.092626666675,30460383.421726454,185.121622093024
101/280,50101,23899,1.0,5.0,316,Core/CBD,Fwy/Ramp,I-280 6th St,,N,26830.239360000003,28311.99999999992,-1481.7606399999167,2195614.594252963,-5.233684091551007
101/280,50101,23819,2.0,5.0,317,UrbBiz,Fwy/Ramp,I-280 King St,,N,37551.082290000006,23563.166666666642,13987.915623333363,195661783.4854936,59.36347954080894
101/280,23819,50100,2.0,5.0,401,UrbBiz,Fwy/Ramp,I-280 King St,,S,35370.02436,17144.666666666642,18225.35769333336,332163663.04994553,106.30336563362788
101/280,23890,50100,1.0,5.0,402,Core/CBD,Fwy/Ramp,I-280 6th St,,S,30526.99835,32486.66666666662,-1959.668316666619,3840299.91134698,-6.032223424994731
101/280,52165,52163,2.0,5.0,403,UrbBiz,Fwy/Ramp,I-280 Pennsylvania Ave (1),,S,8078.81109,7505.99999999998,572.8110900000202,328112.5448270112,7.631376099120993
101/280,52249,52162,2.0,5.0,404,UrbBiz,Fwy/Ramp,I-280 Mariposa St,,S,16863.58856,14099.666666666659,2763.9218933333414,7639264.2324473625,19.602746353341754
101/280,52145,52114,2.0,5.0,405,UrbBiz,Fwy/Ramp,I-280 Pennsylvania Ave (2),,S,17425.59625,7630.333333333323,9795.262916666676,95947175.60662535,128.37267375824587
101/280,52265,52144,2.0,5.0,406,UrbBiz,Fwy/Ramp,I-280 Pennsylvania Ave,,S,13574.627810000002,13938.66666666665,-364.0388566666479,132524.28916316023,-2.6117193657928666
101/280,52507,52509,3.0,1.0,407,Urb,Fwy/Ramp,I-280 SB to 101 SB,,S,25056.6502,32087.999999999953,-7031.349799999953,49439880.00995938,-21.91270817751173
101/280,52126,52125,2.0,1.0,408,UrbBiz,Fwy/Ramp,101 SB to I-280 SB,,S,41112.30053,46476.333333333285,-5364.032803333284,28772847.915235534,-11.541428547862976
101/280,52508,52125,3.0,1.0,409,Urb,Fwy/Ramp,I-280 101 NB,,S,10679.27224,13327.499999999985,-2648.227759999985,7013110.26883454,-19.87040150065645
101/280,52303,20996,2.0,5.0,410,UrbBiz,Fwy/Ramp,I-280 Alemany Blvd,,S,12266.85389,13126.99999999999,-860.1461099999906,739851.3305481159,-6.552495695893892
101/280,20996,52304,2.0,5.0,411,UrbBiz,Fwy/Ramp,I-280 Alemany Blvd,,S,11740.47814,12526.999999999982,-786.5218599999826,618616.6362578322,-6.278613075756236
101/280,52129,21812,2.0,5.0,412,UrbBiz,Fwy/Ramp,I-280 Monterey Blvd,,S,20656.4588,14821.66666666665,5834.792133333351,34044799.23920875,39.36663982907921
101/280,52300,52301,2.0,5.0,413,UrbBiz,Fwy/Ramp,I-280 San Jose Ave,,S,24102.89326,22270.999999999975,1831.8932600000262,3355832.9160335236,8.225464774819399
101/280,52131,52133,2.0,5.0,414,UrbBiz,Fwy/Ramp,I-280 Ocean Ave,,S,24502.42456,15159.333333333321,9343.091226666678,87293353.66981585,61.63259967456804
101/280,52262,52135,2.0,5.0,415,UrbBiz,Fwy/Ramp,I-280 Ocean/Geneva Ave,,S,17460.78735,11515.999999999993,5944.787350000006,35340496.63672009,51.6219811566517
101/280,52136,52237,2.0,5.0,416,UrbBiz,Fwy/Ramp,I-280 San Jose Ave,,S,1174.53333,21540.666666666657,-20366.13333666666,414779387.086885,-94.54736778496488
101/280,52137,52236,2.0,5.0,417,UrbBiz,Fwy/Ramp,I-280 John Daly Blvd,,S,18636.4136,14597.999999999987,4038.4136000000126,16308784.404665062,27.66415673379926
SF Count,27333,27335,3.0,7.0,cmp1NB,Urb,Art,19th Avenue between Moraga and Noriega,19th Avenue,N,28732.05048,33336.99999999996,-4604.949519999962,21205560.08174788,-13.813329093799585
SF Count,27335,27333,3.0,7.0,cmp1SB,Urb,Art,19th Avenue between Moraga and Noriega,19th Avenue,S,28127.33082,35493.999999999956,-7366.669179999957,54267814.80756124,-20.754688623429214
SF Count,24563,24542,0.0,7.0,cmp2SB,Core/CBD,Art,1st Street between Mission and Minna,1st Street,S,34101.775019999994,21242.666666666657,12859.108353333337,165356667.6427672,60.53434135701736
SF Count,20472,20455,3.0,7.0,cmp3NB,Urb,Art,3rd Street between Fitzgerald and Gilman,3rd Street,N,5886.596580000001,10482.999999999985,-4596.403419999984,21126924.39938755,-43.8462598492797
SF Count,20455,20472,3.0,7.0,cmp3SB,Urb,Art,3rd Street between Fitzgerald and Gilman,3rd Street,S,6577.55868,8096.999999999993,-1519.4413199999926,2308701.92492332,-18.76548499444231
SF Count,24590,24609,0.0,7.0,cmp4NB,Core/CBD,Art,3rd Street between Minna and Howard,3rd Street,N,46969.49121,28569.99999999999,18399.49121000001,338541276.7868677,64.40143930696541
SF Count,24631,24627,0.0,7.0,cmp5SB,Core/CBD,Art,4th Street between Minna and Howard,4th Street,S,28941.183349999996,18396.666666666642,10544.516683333353,111186832.08509542,57.317539499909586
SF Count,52738,24265,1.0,7.0,cmp6NB,Core/CBD,Art,7th Street between Howard and Folsom,7th Street,N,23360.04956,20220.999999999985,3139.049560000014,9853632.140136281,15.523710795707512
SF Count,24298,24273,1.0,7.0,cmp7SB,Core/CBD,Art,8th Street between Tehama and Clementina,8th Street,S,26821.5094,12768.333333333321,14053.176066666678,197491757.5607331,110.062728625506
SF Count,24784,24794,0.0,12.0,cmp8NB,Core/CBD,Art,Columbus Avenue between Broadway and Pacific,Columbus Avenue,N,17302.76617,9456.999999999982,7845.766170000017,61556046.79431674,82.96252691128299
SF Count,24794,24784,0.0,12.0,cmp8SB,Core/CBD,Art,Columbus Avenue between Broadway and Pacific,Columbus Avenue,S,21466.847169999997,8591.66666666666,12875.180503333337,165770272.99341488,149.8566110960234
SF Count,24533,52717,0.0,7.0,cmp9NB,Core/CBD,Art,Fremont Street between Mission and Natoma,Fremont Street,N,32851.414800000006,19457.999999999978,13393.414800000028,179383560.00485978,68.83243293247016
SF Count,33470,33468,3.0,3.0,cmp10NB,Urb,Fwy/Ramp,Junipera Serra Boulevard between Font and Brotherhood ramps,Junipera Serra Boulevard,N,54085.005619999996,38360.999999999985,15724.00562000001,247244352.73779193,40.98956132530439
SF Count,22549,33473,3.0,7.0,cmp10SB,Urb,Art,Junipera Serra Boulevard between Font and Brotherhood ramps,Junipera Serra Boulevard,S,49624.10401,48518.333333333314,1105.7706766666888,1222728.7893759068,2.279078032358949
SF Count,24073,24088,1.0,12.0,cmp11NB,Core/CBD,Art,Mission Street between 24th Street and 25th Street,Mission Street,N,1071.70666,7328.333333333316,-6256.626673333316,39145377.32946592,-85.37584725949507
SF Count,24088,24073,1.0,12.0,cmp11SB,Core/CBD,Art,Mission Street between 24th Street and 25th Street,Mission Street,S,2635.49316,6256.666666666659,-3621.173506666659,13112897.565384507,-57.8770405966968
SF Count,21865,21838,2.0,3.0,cmp12NB,UrbBiz,Fwy/Ramp,San Jose Avenue between Randall and St. Mary's,San Jose Avenue,N,41923.494009999995,19595.0,22328.494009999995,498561644.75460565,113.94995667262053
SF Count,21838,33371,2.0,3.0,cmp12SB,UrbBiz,Fwy/Ramp,San Jose Avenue between Randall and St. Mary's,San Jose Avenue,S,31884.83709,19253.0,12631.83709,159563308.2682997,65.6097080454994
SF Count,23602,24570,0.0,15.0,cmp13NB,Core/CBD,Art,The Embarcadero between Broadway and Washington,The Embarcadero,N,27451.91436,19286.999999999985,8164.914360000013,66665826.50613443,42.33377072639612
SF Count,24570,23602,0.0,15.0,cmp13SB,Core/CBD,Art,The Embarcadero between Broadway and Washington,The Embarcadero,S,21147.06253,12928.333333333314,8218.729196666685,67547509.60814142,63.57145182415906
SF Count,25226,25225,0.0,7.0,cmp14NB,Core/CBD,Art,Van Ness Avenue between California and Pine,Van Ness Avenue,N,4777.86672,14706.999999999982,-9929.133279999982,98587687.69200319,-67.5129753178758
SF Count,25225,25226,0.0,7.0,cmp14SB,Core/CBD,Art,Van Ness Avenue between California and Pine,Van Ness Avenue,S,19253.10437,16409.33333333332,2843.7710366666797,8087033.708984282,17.330204578695145
SF Count,25536,25533,1.0,7.0,cmp15EB,Core/CBD,Art,Bay Street between Leavenworth and Columbus,Bay Street,E,18818.24292,12424.333333333321,6393.909586666679,40882079.80246807,51.46279816489163
SF Count,25533,25536,1.0,7.0,cmp15WB,Core/CBD,Art,Bay Street between Leavenworth and Columbus,Bay Street,W,16861.28988,11775.99999999999,5085.289880000009,25860173.163630508,43.18350781250011
SF Count,25308,25111,3.0,7.0,cmp16EB,Urb,Art,Broadway Tunnel between Larkin and Powell,Broadway Tunnel,E,26561.596319999997,18224.999999999985,8336.596320000011,69498838.20263773,45.74264098765442
SF Count,25111,25308,3.0,7.0,cmp16WB,Urb,Art,Broadway Tunnel between Larkin and Powell,Broadway Tunnel,W,23987.141050000002,12733.333333333318,11253.807716666684,126648188.12370661,88.38068887434581
SF Count,23834,23837,1.0,7.0,cmp17EB,Core/CBD,Art,Bryant Street between 3rd Street and 4th Street,Bryant Street,E,37013.04712,22195.33333333331,14817.713786666693,219564641.86357218,66.76049223560527
SF Count,24741,24736,0.0,7.0,cmp18EB,Core/CBD,Art,Bush Street between Grant and Kearny,Bush Street,E,27519.82087,16195.999999999984,11323.820870000016,128228919.09584792,69.91739238083494
SF Count,25223,25210,0.0,7.0,cmp19EB,Core/CBD,Art,Bush Street between Van Ness and Polk,Bush Street,E,23910.10138,18563.333333333314,5346.768046666686,28587928.54485589,28.802844568145225
SF Count,21125,33287,1.0,15.0,cmp20EB,Core/CBD,Art,Cesar Chavez Street between York and Hampshire,Cesar Chavez Street,E,21626.74231,24362.99999999998,-2736.2576899999804,7487106.146084028,-11.231201781389741
SF Count,33287,21125,1.0,15.0,cmp20WB,Core/CBD,Art,Cesar Chavez Street between York and Hampshire,Cesar Chavez Street,W,26924.34837,25532.666666666653,1391.6817033333464,1936777.9633928044,5.450592848377296
SF Count,26039,26030,1.0,15.0,cmp21WB,Core/CBD,Art,Fell Street between Divisadero and Scott,Fell Street,W,42472.75146,31660.6666666666,10812.0847933334,116901177.57823136,34.14989616980088
SF Count,26514,26496,1.0,15.0,cmp22EB,Core/CBD,Art,Geary Boulevard between Laguna and Gough,Geary Boulevard,E,23013.156120000003,15030.666666666652,7982.489453333352,63720137.872578196,53.108019959194706
SF Count,26494,26514,1.0,15.0,cmp22WB,Core/CBD,Art,Geary Boulevard between Laguna and Gough,Geary Boulevard,W,22878.4016,15105.333333333323,7773.068266666678,60420590.278260514,51.459097890369954
SF Count,25959,25942,1.0,7.0,cmp23EB,Core/CBD,Art,Golden Gate Avenue between Van Ness and Polk,Golden Gate Avenue,E,14814.21752,10888.33333333331,3925.88418666669,15412566.647119576,36.05587803459389
SF Count,24579,23906,1.0,7.0,cmp24WB,Core/CBD,Art,Harrison Street between 3rd Street and 4th Street,Harrison Street,W,32432.233160000003,15291.0,17141.233160000003,293821874.2454837,112.10014492184948
SF Count,26976,26974,2.0,7.0,cmp25EB,UrbBiz,Art,Lombard Street between Broderick and Divisadero,Lombard Street,E,36899.82544,21361.999999999978,15537.825440000022,241424019.4039119,72.73581799456997
SF Count,26974,26976,2.0,7.0,cmp25WB,UrbBiz,Art,Lombard Street between Broderick and Divisadero,Lombard Street,W,36374.17347,21952.33333333332,14421.84013666668,207989472.92757002,65.69616048407923
SF Count,26031,26027,1.0,7.0,cmp26EB,Core/CBD,Art,Oak Street between Divisadero and Scott,Oak Street,E,36599.649170000004,32633.0,3966.6491700000042,15734305.637861723,12.155331014617119
SF Count,24739,24743,0.0,7.0,cmp27WB,Core/CBD,Art,Pine Street between Grant and Kearny,Pine Street,W,20953.05902,17388.0,3565.0590200000006,12709645.816083364,20.502984932137107
SF Count,25222,25226,0.0,7.0,cmp28WB,Core/CBD,Art,Pine Street between Van Ness and Polk,Pine Street,W,22394.71848,18897.999999999993,3496.718480000007,12227040.128373558,18.50311398031542
SF Count,25175,25184,0.0,12.0,cmp29WB,Core/CBD,Art,Turk Street between Van Ness and Polk,Turk Street,W,14337.03097,8793.666666666652,5543.364303333348,30728887.799470417,63.038144535840466
SF Count,27146,27148,3.0,11.0,sfmta1,Urb,Loc,10TH AVE between JUDAH and KIRKHAM,10TH AVE,N,417.89995999999996,1515.5,-1097.60004,1204725.8478080016,-72.42494490267238
SF Count,27148,27146,3.0,11.0,sfmta2,Urb,Loc,10TH AVE between JUDAH and KIRKHAM,10TH AVE,S,341.83985,1257.5,-915.6601499999999,838433.5102980224,-72.81591650099402
SF Count,27108,27110,3.0,11.0,sfmta3,Urb,Loc,10TH AVE between LAWTON and MORAGA,10TH AVE,N,793.0227499999999,1425.5,-632.4772500000001,400027.4717675627,-44.36880042090496
SF Count,27110,27108,3.0,11.0,sfmta4,Urb,Loc,10TH AVE between LAWTON and MORAGA,10TH AVE,S,906.7172200000001,884.5,22.21722000000011,493.60486452840496,2.5118394573205327
SF Count,27267,27297,2.0,11.0,sfmta5,UrbBiz,Loc,12TH AVE between BALBOA and CABRILLO,12TH AVE,N,25.7483,1054.0,-1028.2517,1057301.55855289,-97.55708728652752
SF Count,27297,27267,2.0,11.0,sfmta6,UrbBiz,Loc,12TH AVE between BALBOA and CABRILLO,12TH AVE,S,17.84545,637.5,-619.65455,383971.76133570244,-97.20071372549019
SF Count,27111,27116,3.0,11.0,sfmta7,Urb,Loc,12TH AVE between FUNSTON and PACHECO,12TH AVE,N,990.51842,264.0,726.51842,527829.0145992964,275.1963712121212
SF Count,27116,27111,3.0,11.0,sfmta8,Urb,Loc,12TH AVE between FUNSTON and PACHECO,12TH AVE,S,233.68732000000003,294.5,-60.81267999999997,3698.1820487823966,-20.64946689303904
SF Count,22988,22968,3.0,11.0,sfmta9,Urb,Loc,12TH AVE between MAGELLAN and TARAVAL,12TH AVE,N,1100.55834,165.5,935.05834,874334.0992035557,564.9899335347432
SF Count,22968,22988,3.0,11.0,sfmta10,Urb,Loc,12TH AVE between MAGELLAN and TARAVAL,12TH AVE,S,1093.1738599999999,189.0,904.1738599999999,817530.3691072994,478.39886772486767
SF Count,26007,26004,2.0,4.0,sfmta11,UrbBiz,Col,14TH  ST between CASTRO and DIVISADERO,14TH  ST,E,9608.140070000001,4413.5,5194.640070000001,26984285.45684962,117.69888002718933
SF Count,26004,26007,2.0,4.0,sfmta12,UrbBiz,Col,14TH  ST between CASTRO and DIVISADERO,14TH  ST,W,7717.19081,3303.5,4413.69081,19480666.566278458,133.6065024973513
SF Count,27478,27486,3.0,11.0,sfmta15,Urb,Loc,15TH AVE between ANZA and GEARY,15TH AVE,N,784.22584,1132.0,-347.77416000000005,120946.86636370563,-30.72209893992933
SF Count,27486,27478,3.0,11.0,sfmta16,Urb,Loc,15TH AVE between ANZA and GEARY,15TH AVE,S,370.83576,1244.0,-873.1642400000001,762415.7900147777,-70.19005144694535
SF Count,27623,27625,3.0,11.0,sfmta17,Urb,Loc,15TH AVE between CALIFORNIA and LAKE,15TH AVE,N,142.92862,432.0,-289.07138,83562.26273510439,-66.91467129629629
SF Count,27625,27623,3.0,11.0,sfmta18,Urb,Loc,15TH AVE between CALIFORNIA and LAKE,15TH AVE,S,66.84986,761.0,-694.15014,481844.41686201957,-91.21552431011825
SF Count,23677,23675,2.0,11.0,sfmta19,UrbBiz,Loc,17TH ST between MISSISSIPPI and TEXAS,17TH ST,E,912.7014199999999,2630.0,-1717.2985800000001,2949114.412870017,-65.29652395437263
SF Count,23675,23677,2.0,11.0,sfmta20,UrbBiz,Loc,17TH ST between MISSISSIPPI and TEXAS,17TH ST,W,596.86289,2620.0,-2023.1371100000001,4093083.7658591527,-77.21897366412213
SF Count,25814,25821,1.0,12.0,sfmta21,Core/CBD,Art,17TH ST between CASTRO and DIAMOND,17TH ST,W,5755.41132,4792.5,962.9113200000002,927198.2101841427,20.09204632237872
SF Count,25821,25828,1.0,12.0,sfmta22,Core/CBD,Art,17TH ST between CASTRO and DIAMOND,17TH ST,W,5558.91129,4792.5,766.41129,587386.2654394641,15.991889201877935
SF Count,23748,23744,2.0,11.0,sfmta23,UrbBiz,Loc,18TH ST between ARKANSAS and CAROLINA,18TH ST,E,214.60173,973.0,-758.39827,575167.9359389929,-77.9443237410072
SF Count,23744,23748,2.0,11.0,sfmta24,UrbBiz,Loc,18TH ST between ARKANSAS and CAROLINA,18TH ST,W,445.38773000000003,1243.0,-797.61227,636185.3332545528,-64.1683242156074
